author,conference,title,year
"{'Mehdi Dastani', 'John-Jules Ch. Meyer', 'Bas R. Steunebrink'}",AAAI,a logic of emotions for intelligent agents.,2007
"{'Ido Dagan', 'Roy Bar-Haim', 'Iddo Greental', 'Eyal Shnarch'}",AAAI,semantic inference at the lexical-syntactic level.,2007
"{'Andrew W. Wicker', 'Jon Doyle'}",AAAI,interest-matching comparisons using cp-nets.,2007
{'Michael H. Coen'},AAAI,learning to sing like a bird: the self-supervised acquisition of birdsong.,2007
"{'Timothy Baldwin', 'Su Nam Kim'}",AAAI,disambiguating noun compounds.,2007
"{'Nikos Dimaresis', 'Grigoris Antoniou'}",AAAI,implementing modal extensions of defeasible logic for the semantic web.,2007
"{'Han Lin', 'Abdul Sattar 0001', 'Mark Reynolds', 'Kaile Su'}",AAAI,a modal logic for beliefs and pro attitudes.,2007
"{'Jens Claßen', 'Yuxiao Hu', 'Gerhard Lakemeyer'}",AAAI,a situation-calculus semantics for an expressive fragment of pddl.,2007
"{'Abdul Sattar 0001', 'Timothy William Cleaver'}",AAAI,intention guided belief revision.,2007
"{'Ruihua Song', 'Shuyi Zheng', 'Ji-Rong Wen'}",AAAI,template-independent news extraction based on visual consistency.,2007
"{'Edith Hemaspaandra', 'Piotr Faliszewski', 'Lane A. Hemaspaandra', 'Jörg Rothe'}",AAAI,llull and copeland voting broadly resist bribery and control.,2007
"{'Thomas Roth-Berghofer', 'Daniel Bahls'}",AAAI,explanation support for the case-based reasoning tool mycbr.,2007
{'Matthew E. Taylor'},AAAI,autonomous inter-task transfer in reinforcement learning domains.,2007
"{'Brian Scassellati', 'Kevin Gold'}",AAAI,a robot that uses existing vocabulary to infer non-visual word meanings from observation.,2007
"{'Kevin Leyton-Brown', 'David Robert Martin Thompson'}",AAAI,valuation uncertainty and imperfect introspection in second-price auctions.,2007
"{'Kwangmoo Koh', 'Seung-Jean Kim', 'Stephen P. Boyd'}",AAAI,a method for large-scale l1-regularized logistic regression.,2007
"{'Roland Memisevic', 'Horst Samulowitz'}",AAAI,learning to solve qbf.,2007
"{'Xenofon D. Koutsoukos', 'Matthew J. Daigle', 'Gautam Biswas'}",AAAI,a qualitative approach to multiple fault isolation in continuous systems.,2007
"{'Pascal Van Hentenryck', 'Yannis Vergados'}",AAAI,population-based simulated annealing for traveling tournaments.,2007
"{'Henrik Reif Andersen', 'Esben Rune Hansen'}",AAAI,interactive configuration with regular string constraints.,2007
"{'Kenneth St. Clair', 'Charles Lee Isbell Jr.', 'Sooraj Bhat', 'David L. Roberts'}",AAAI,authorial idioms for target distributions in ttd-mdps.,2007
"{'Wen-tau Yih', 'Christopher Meek'}",AAAI,improving similarity measures for short segments of text.,2007
"{'William Adams', 'Dennis Perzanowski', 'Matthew Marge', 'Magdalena D. Bugajska', 'William G. Kennedy', 'J. Gregory Trafton', 'Alan C. Schultz', 'Benjamin R. Fransen'}",AAAI,spatial representation and reasoning for human-robot collaboration.,2007
{'Avi Pfeffer'},AAAI,sampling with memoization.,2007
"{'Moshe Tennenholtz', 'Roy Fox'}",AAAI,a reinforcement learning algorithm with polynomial interaction complexity for only-costly-observable mdps.,2007
"{'Pierre Senellart', 'Yann Ollivier'}",AAAI,finding related pages using green measures: an illustration with wikipedia.,2007
"{'Alexander J. Smola', 'Arthur Gretton', 'Malte J. Rasch', 'Karsten M. Borgwardt', 'Bernhard Schölkopf'}",AAAI,a kernel approach to comparing distributions.,2007
"{'Hannaneh Hajishirzi', 'Eyal Amir'}",AAAI,stochastic filtering in a probabilistic action model.,2007
"{'René Witte', 'Sabine Bergler', 'Ralf Krestel'}",AAAI,fuzzy set theory-based belief processing for natural language texts.,2007
"{'Michael Marlen', 'Aarón Chávez', 'Alejandro Alliana', 'David Gustafson', 'Andrew L. King', 'Ondrej Linda'}",AAAI,ksu willie in semantic vision challenge.,2007
"{'Liz Sonenberg', 'Frank Dignum', 'Iyad Rahwan', 'Philippe Pasquier'}",AAAI,on the benefits of exploiting underlying goals in argument-based negotiation.,2007
"{'Rong Zhou 0001', 'Eric A. Hansen'}",AAAI,parallel structured duplicate detection.,2007
"{'Natalie Fridman', 'Gal A. Kaminka'}",AAAI,towards a cognitive model of crowd behavior based on social comparison theory.,2007
"{'Jeffrey R. Croxell', 'Ross Mead', 'Jerry B. Weinberg'}",AAAI,an implementation of robot formations using local interactions.,2007
"{'Ariel D. Procaccia', 'Aviv Zohar', 'Jeffrey S. Rosenschein', 'Yoni Peleg'}",AAAI,learning voting trees.,2007
"{'Magdalena Ortiz', 'Thomas Eiter', 'Diego Calvanese'}",AAAI,answering regular path queries in expressive description logics: an automata-theoretic approach.,2007
"{'Pascal Van Hentenryck', 'Irit Katriel', 'Eli Upfal', 'Meinolf Sellmann'}",AAAI,propagating knapsack constraints in sublinear time.,2007
"{'Zhenglu Yang', 'Masaru Kitsuregawa', 'Lin Li 0001'}",AAAI,aggregating user-centered rankings to improve web search.,2007
"{'Lawrence D. Bergman', 'Daniel Oblinger', 'Vittorio Castelli'}",AAAI,learning by combining observations and user edits.,2007
"{'Jessica Davies', 'Fahiem Bacchus'}",AAAI,using more reasoning to improve #sat solving.,2007
"{'Michael Thielscher', 'Dongmo Zhang', 'Yi Jin'}",AAAI,mutual belief revision: semantics and computation.,2007
"{'Eric Eaton', 'John Stevenson', 'Marie desJardins'}",AAAI,using multiresolution learning for transfer in image classification.,2007
"{'Stephen J. Roberts', 'Steven Reece', 'Nicholas R. Jennings', 'Alex Rogers'}",AAAI,a multi-dimensional trust model for heterogeneous contract observations.,2007
"{'Barry Smyth', 'Paul Cotter', 'Stephen Oman'}",AAAI,enabling intelligent content discovery on the mobile internet.,2007
